voltage_oc,power_mpp,duty_mpp
6.6836,0.00588,32.0
5.7673,9e-05,56.0
5.1205,9e-05,2.0
4.4737,9e-05,3.0
3.9886,8e-05,51.0
3.773,8e-05,51.0
3.234,9e-05,28.0
2.8567,9e-05,18.0
2.5872,6e-05,1.0
2.2638,3e-05,16.0
15.0381,0.31398,36.0
14.9842,0.31009,35.0
14.9842,0.29624,26.0
15.8466,0.56696,37.0
15.9544,0.56431,33.0
15.9544,0.57269,43.0
15.9544,0.53368,29.0
15.9005,0.58781,38.0
15.8466,0.52031,37.0
15.8466,0.56696,37.0
14.4452,0.2969,35.0
14.1218,0.21977,33.0
14.0679,0.21491,46.0
14.1757,0.23337,30.0
14.2296,0.219,36.0
14.1757,0.24311,32.0
14.9303,0.34294,28.0
15.2537,0.48718,43.0
16.5473,0.97433,37.0
16.3856,0.93722,38.0
6.8992,0.16003,39.0
6.8453,0.15188,40.0
6.6836,0.15049,36.0
5.8751,0.10891,46.0
5.9829,0.11858,38.0
6.6297,0.16228,38.0
6.8453,0.16228,38.0
7.3843,0.15424,50.0
7.2765,0.16755,38.0
8.2467,0.24912,40.0
7.3843,0.19061,37.0
9.1091,0.25367,44.0
9.8637,0.32149,42.0
9.5942,0.30541,42.0
9.7559,0.29797,47.0
9.702,0.31753,50.0
9.3247,0.27697,38.0
9.0013,0.25701,43.0
8.8396,0.29787,38.0
8.5701,0.26356,39.0
8.4084,0.26888,41.0
8.3545,0.26888,41.0
8.8935,0.01638,34.0
9.0552,0.01669,42.0
9.2708,0.02118,37.0
9.5942,0.02638,38.0
9.9715,0.02614,35.0
10.3488,0.02973,36.0
10.5644,0.0331,38.0
10.78,0.03445,35.0
10.8878,0.04323,38.0
11.0495,0.04001,39.0
10.8339,0.03849,41.0
10.8878,0.04419,41.0
10.9956,0.04001,39.0
11.1573,0.04129,41.0
11.2651,0.04752,44.0
11.2112,0.04752,44.0
11.0495,0.03665,40.0
10.9417,0.03904,35.0
10.8339,0.03849,41.0
10.78,0.03505,28.0
18.9189,1.08498,28.0
18.5955,1.35547,37.0
18.3799,1.39911,40.0
18.1643,1.48115,40.0
19.4579,5.31723,59.0
19.6196,5.59882,69.0
19.5657,5.46518,55.0
19.5657,5.3782,69.0
19.5118,5.1182,68.0
19.4579,5.35343,50.0
7.2765,0.20099,38.0
7.1687,0.17643,39.0
6.9531,0.16829,40.0
6.3063,0.13008,37.0
5.4439,0.08023,36.0
6.8992,0.1528,44.0
6.7375,0.15708,38.0
6.5758,0.1394,39.0
6.6297,0.13447,39.0
6.6297,0.1394,39.0
16.1161,0.63103,32.0
16.1161,0.59781,38.0
16.0622,0.63412,31.0
16.0622,0.60571,37.0
16.0622,0.57827,35.0
16.0083,0.55384,44.0
16.0083,0.61826,30.0
16.0083,0.54599,36.0
16.0083,0.59006,33.0
15.9544,0.58441,31.0
8.3006,0.23819,42.0
10.2949,0.38089,43.0
10.7261,0.44313,41.0
10.2949,0.39002,43.0
8.4084,0.26166,41.0
9.4325,0.32204,40.0
10.1332,0.36881,45.0
10.241,0.39513,46.0
10.5105,0.38098,42.0
10.5105,0.42467,41.0
16.5473,0.93819,45.0
15.3615,0.33484,31.0
14.2835,0.22717,32.0
14.1218,0.22289,29.0
14.014,0.18532,45.0
13.6367,0.14751,33.0
10.9956,0.14746,28.0
13.3133,0.11912,32.0
13.1516,0.15413,29.0
11.4268,0.04666,28.0
15.3615,0.34929,30.0
14.9303,0.25415,26.0
14.8225,0.25034,34.0
14.9303,0.25435,31.0
14.9303,0.26811,34.0
14.8225,0.27087,32.0
14.8764,0.27137,35.0
14.8764,0.25701,43.0
14.8225,0.23514,43.0
14.8764,0.2803,34.0
10.1871,0.03015,35.0
10.1332,0.02614,35.0
10.0793,0.02613,43.0
9.9715,0.02597,41.0
9.9176,0.02563,36.0
9.8637,0.02424,35.0
9.7559,0.02257,25.0
9.5942,0.02116,34.0
9.3247,0.02006,36.0
8.9474,0.01735,35.0
